country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Faeroe Islands,,,,0.115,0.241,0.831,6.58,12.3,27.5,30.2,31.1,33.2,33.8,33.6,34.1,34.9,36.2,37,37.3,37.3,37.5,
"Micronesia, Fed. Sts.",,,,,,0.00561,0.0244,0.0433,0.0902,0.111,,,0.97,,,1.95,2.88,3.01,2.88,3.39,,
Gabon,,,,,,0.0129,0.048,0.11,0.123,0.135,0.145,0.236,0.251,0.267,0.286,0.49,0.573,0.569,0.748,0.725,1.37,1.03
United Kingdom,,,0.0898,0.56,2.29,5.23,10.2,16.4,21.4,25.4,27.9,28.5,30.2,32.2,33.6,35.5,36.3,37.4,38.4,39,39.6,39.7
Georgia,,,,0.01,0.0216,0.0333,0.045,0.0568,0.644,1.12,2.71,3.64,4.45,6.09,11.4,12.8,14.9,15.8,17,19.5,21.5,23.6
Ghana,,,,,,,0.00423,0.00873,0.057,0.0705,0.0975,0.117,0.21,0.257,0.262,0.259,0.258,0.263,0.304,0.195,0.206,0.192
Gibraltar,,,,,,,,,,,,27.7,31.1,33.6,35.6,,38.5,46.2,48.6,51.5,56.3,57.9
Guinea,,,,,,,,,,,,,0.00491,0.00576,0.00657,0.00734,0.00807,0.00875,0.00937,0.00934,0.00977,0.00979
Gambia,,,,,,,0.00241,0.0046,,0.0164,0.0178,0.0172,0.0195,0.0237,0.0262,0.0223,0.136,0.171,0.174,0.181,0.194,
Guinea-Bissau,,,,,,,,,,,,,0.0525,0.064,0.075,0.0881,0.0824,0.0605,0.0497,0.0467,0.0642,0.0639
Equatorial Guinea,,,,,,,,0.024,0.0229,0.0219,0.0209,0.02,0.126,0.136,0.144,0.327,0.346,0.325,0.278,0.15,0.124,
Greece,,,,,,0.0934,0.458,1.43,4.36,9.15,13.6,17.5,20.7,22.8,24.9,27.1,29.5,32.3,34.1,35.7,37.7,39.6
Grenada,,,,,0.543,,0.584,3.08,5.28,7.23,8.49,11.7,13.6,13.7,14.9,16.6,17.3,18,18.9,20.1,24.2,22.8
Greenland,,,,,,0.21,5.84,12.5,16.2,18.5,21.1,22.1,21.9,21,20.2,19.1,18.4,17.7,,21.3,23.3,25.4
Guatemala,,,,,,,,0.207,0.291,0.416,0.675,1.09,1.77,,1.84,2.26,2.72,2.83,3.05,3.14,,
Guam,,,,1.12,,,,,,1.7,1.7,1.88,1.88,,,1.87,1.86,,,,,
Guyana,,,,,,,,0.268,,0.316,0.681,0.913,1.49,2.73,3.97,4.86,5.92,7,7.42,8.37,,
"Hong Kong, China",0.171,1.33,6.73,10.7,15.5,18.9,22.5,24.5,26.4,27.8,28.1,29.7,31.1,32.8,32,31.5,32,32.7,36.3,36.4,36.8,37.7
Honduras,,,,,,,,,,,,,0.012,0.676,0.709,0.784,1.76,2.17,2.38,2.53,3.7,4.01
Croatia,,,,,,0.0775,0.598,2.65,5.76,8.87,12.1,16.5,19.4,20.7,21.4,22.3,23.1,23.3,24.8,26.2,27.1,28
Haiti,,,,,,,,,,,,,,,0,0,0,0.0126,0.0124,0.272,0.28,0.276
Hungary,,,0.0333,0.308,1.1,2.61,4.06,6.46,11.9,14.5,17.7,19.8,21.8,23.4,24.3,26.4,26.3,27.8,28.9,30.4,31.7,32.9
Indonesia,,,0.00189,0.007,0.0176,0.028,0.038,0.0478,0.0848,0.335,0.417,0.781,0.943,1.12,1.2,1.29,1.33,1.54,2,2.35,3.32,3.8
India,,,,0.00465,0.00754,0.0126,0.0208,0.117,0.197,0.265,0.44,0.636,0.89,1.07,1.18,1.17,1.22,1.29,1.41,1.33,1.34,1.4
Ireland,,,,,0.271,1.05,3.75,7.79,13.3,17.5,20.2,21.7,22.4,23.3,24.1,25.8,27.2,28.1,29,29.4,29.7,30
Iran,,,0.00027,0.00099,0.024,0.0274,,,0.142,0.28,0.416,0.549,1.34,2.84,5.04,6.75,7.93,8.42,9.56,10.7,12.7,10.6
Iraq,,,,,,,,,,0.00035,0.00019,0.00042,0.0105,,,,,,,11.4,11.7,11.6
Iceland,,0.0291,0.841,3.68,8.51,14.4,19.2,26.4,29.3,32.8,34.1,33.9,34.1,34.5,34.8,35.9,36.4,37.7,38.5,40.3,41,41.1
Israel,,,,0.724,3.76,10.1,15.3,18.8,21.3,22.3,24,24,24,25.1,25.4,25.9,27.1,27.2,27.8,28.4,29.1,29.1
Italy,,,0.203,0.686,1.49,3.91,8.15,11.7,14.5,17.2,19.1,20.4,22.1,22.7,23,23.3,23.8,24.6,25.7,27.3,28.1,28.9
Jamaica,,,,0.121,0.334,0.332,0.991,1.64,2.48,3.35,3.5,4.01,4.15,4.19,4.33,4.93,5.27,7.92,9.84,8.19,9.7,10.8
Jordan,,,,0.00784,0.0597,0.0919,0.187,0.408,0.812,1.42,2.22,3.45,4.04,3.87,3.71,3.85,3.94,3.34,3.11,3.39,4.01,4.53
Japan,0.0252,0.17,0.67,3,7.35,11.6,15.3,18.2,20.6,22,23.4,25.6,26.5,27.8,28.1,28.8,29.5,30.4,31.2,31.8,32.6,33.5
Kazakhstan,,,,,,0.00661,0.0131,0.0194,0.196,1.72,2.13,3.6,5.35,7.24,9.77,11.5,12.4,13.1,13.2,14.2,13.4,13.5
Kenya,,,,,,,,0.0147,0.0471,0.0458,0.00825,0.0445,0.0163,0.125,0.123,0.163,0.218,0.282,0.271,0.574,0.723,0.934
Kyrgyz Republic,,,,,0.00072,0.00277,0.0378,0.0452,0.0539,0.0601,0.362,0.325,0.425,0.708,0.972,2.38,2.92,3.55,3.97,4.17,3.98,4.19
Cambodia,,,,,0.0004,0.00326,0.00597,0.00753,0.0215,0.0618,0.12,0.213,0.249,0.151,0.201,0.217,0.433,0.538,0.619,0.835,1.02,1.12
Kiribati,,,,,,,,0.349,0.426,0.522,0.694,0.758,0.822,0.812,0.752,0.649,0.457,0.105,0.0978,0.0972,0.0751,0.0893
St. Kitts and Nevis,,,,,1.11,4.37,9.5,13.9,18.6,20.1,23,26.7,29.8,25.5,26.1,26.4,27.6,32,27.5,56.2,55.8,
South Korea,0.03,0.591,8.17,16.4,21.7,23.2,24.6,25,28.7,30,31.5,33.1,34.7,35.9,36.5,37.2,37.9,39.4,40.3,41.5,41.6,42.8
Kuwait,,,,0.238,0.491,0.601,0.909,1.1,1.26,1.4,1.51,1.6,1.54,1.48,1.4,1.33,1.3,1.43,2.56,2.9,2.51,2.01
Lao,,,,,,0.00045,0.00088,0.00546,0.0127,0.0191,0.0479,0.0702,0.0942,0.103,0.118,0.138,0.243,0.216,0.357,0.391,0.643,1.06
Lebanon,,,,,0,0,0,0,0,1.05,2.1,4.09,6.68,7.73,8.6,8.12,18.1,,,,,6.13
Liberia,,,,,,,,,,,0.00305,0.004,0.00478,0.00157,0.0127,0.12,0.138,0.157,0.174,0.191,,
Libya,,,,,,,,,,,0.763,1.03,1.17,1.12,1.07,1.02,0.987,0.95,2.6,4.83,,
St. Lucia,,,,,,0.872,2.35,4.28,4.34,6.61,9.13,10.8,11.8,12.2,13.9,13.9,15.8,15.9,16.5,17.6,17.7,
Liechtenstein,,,,,4.24,4.39,13.8,24.8,28.6,40.3,43.8,44.7,42.4,37.5,39.4,40.7,41.9,41.9,42.3,43,44.1,45.2
Sri Lanka,,,,0.00173,0.00311,0.0178,0.105,0.107,0.116,0.319,0.51,0.843,1.13,1.76,1.72,2.05,2.73,2.99,4.24,5.78,7.27,7.81
Lesotho,,,,,,,0.0011,0.00225,,0.00554,0.00705,0.0201,0.02,0.0668,0.0812,0.112,0.0735,0.1,0.107,0.231,0.273,0.298
Lithuania,,,,0.0699,0.581,1.96,3.82,7,11.2,17.2,18.4,20,21.7,23.6,25.2,27.8,27,28.4,29.7,28.1,28.2,28.7
Luxembourg,,,,0.276,1.31,3.43,8.08,15.3,21.2,27.1,29.5,31.4,33.2,32.7,32,32.5,33.7,34.5,35.1,36.3,37.1,37.4
